Startup name,Region,Industry,Funding Rounds,Funding Amount (M USD),Valuation (M USD),Revenue (M USD),Employees,Market Share (%),Profitable,Exit Status,years
Startup_126,South America,Edtech,5,6.28,71.12,5.48,469,13.84,0,Acquired,7
Startup_127,Africa,E-commerce,1,51.63,5.03,7.43,442,8.58,0,Closed,14
Startup_128,South America,Healthtech,5,0.63,7.09,1.96,365,10.16,1,Closed,9
Startup_129,South America,Edtech,3,41.91,0.53,8.78,69,22.34,1,Operating,9
Startup_130,Asia,Healthtech,7,28.51,212.44,30.5,67,15.57,0,IPO,0
Startup_131,South America,Fintech,2,50.74,26.91,0.52,30,16.02,1,Operating,5
Startup_132,Africa,AI,2,30.92,133.24,3.03,199,11.17,1,Acquired,3
Startup_133,South America,Fintech,2,34.99,27.25,11.85,249,47.2,1,Operating,10
Startup_134,Asia,Biotech,3,2.28,5.48,3.13,63,9.96,1,Operating,5
Startup_135,Asia,AI,3,36.1,21.03,4.59,126,13.09,0,IPO,2
Startup_136,Africa,SaaS,2,12.97,27.08,3.43,303,9.1,0,IPO,12
Startup_137,Europe,Edtech,2,8.66,9.72,34.26,124,19.83,0,IPO,10
Startup_138,Europe,Healthtech,1,3.34,2.75,6.68,143,22.92,0,Acquired,8
Startup_139,South America,Biotech,4,0.01,19.03,1.44,435,27.46,1,Operating,13
Startup_140,USA,SaaS,8,20.58,38.75,1.3,416,8.41,0,Acquired,3
Startup_141,South America,Healthtech,5,25.89,14.74,3.72,288,10.16,1,Operating,14
Startup_142,Africa,Edtech,3,9.82,159.33,5.12,226,3.54,0,Closed,12
Startup_143,Africa,E-commerce,4,3.59,32.83,3.41,423,3.13,0,Acquired,6
Startup_144,Africa,Biotech,3,3.12,6.98,8.0,395,27.49,0,Operating,1
Startup_145,Africa,Fintech,3,3.68,26.68,20.54,101,30.96,1,Operating,12
Startup_146,Africa,Fintech,5,1.16,61.5,15.52,31,21.03,1,Acquired,7
Startup_147,Asia,Healthtech,4,8.91,33.39,8.65,97,21.32,0,Operating,10
Startup_148,Europe,Healthtech,3,19.15,20.12,12.88,415,12.36,0,Operating,5
Startup_149,Africa,Healthtech,1,11.85,5.62,10.86,366,14.43,0,Operating,7
Startup_150,USA,Biotech,3,2.68,30.77,0.68,99,8.46,1,Closed,6
Startup_151,USA,Edtech,6,33.87,5.12,10.07,179,22.61,0,Operating,13
Startup_152,USA,E-commerce,2,6.77,23.17,20.56,137,18.59,1,Operating,3
Startup_153,USA,Fintech,1,18.46,6.18,17.72,230,16.14,1,IPO,6
Startup_154,Asia,SaaS,3,5.64,56.38,6.35,41,13.6,0,Operating,14
Startup_155,USA,AI,4,18.08,74.05,3.94,25,21.02,0,Closed,10
Startup_156,Africa,Biotech,2,2.78,13.95,4.75,350,23.98,0,Operating,9
Startup_157,South America,Biotech,1,21.31,3.88,8.34,122,6.33,1,Operating,2
Startup_158,USA,Edtech,3,17.03,21.31,5.27,239,22.76,0,Closed,6
Startup_159,Asia,Fintech,2,14.65,41.11,4.28,73,8.9,0,IPO,10
Startup_160,Asia,E-commerce,7,4.89,73.04,1.26,101,17.28,1,Operating,5
Startup_161,USA,Edtech,3,15.06,25.78,1.12,302,19.09,1,IPO,7
Startup_162,South America,SaaS,3,45.48,22.78,0.3,323,15.29,1,IPO,12
Startup_163,USA,Fintech,6,2.68,119.48,50.98,6,14.51,1,Operating,10
Startup_164,Asia,Edtech,5,24.33,29.86,4.5,347,35.71,1,Acquired,6
Startup_165,Europe,Fintech,5,2.41,29.64,0.75,132,28.45,1,Operating,7
Startup_166,Africa,Fintech,5,8.25,26.38,8.39,183,20.63,0,Operating,3
Startup_167,Asia,Biotech,7,23.03,22.57,11.24,495,35.27,0,Operating,10
Startup_168,USA,E-commerce,1,16.43,65.19,11.42,353,3.37,1,Acquired,4
Startup_169,Africa,Biotech,4,22.68,16.55,34.87,406,7.76,0,IPO,11
Startup_170,USA,AI,0,66.13,23.8,2.4,423,7.7,1,Operating,6
Startup_171,USA,E-commerce,4,69.87,16.58,22.51,398,14.48,0,Acquired,14
Startup_172,Europe,Fintech,6,49.27,42.24,23.66,427,10.82,0,Acquired,2
Startup_173,Africa,Edtech,2,13.66,161.44,6.12,101,2.43,0,IPO,4
Startup_174,Africa,SaaS,2,8.34,24.74,30.53,292,36.46,0,Operating,1
Startup_175,Europe,E-commerce,3,6.56,172.42,2.25,238,36.55,1,Operating,2
Startup_176,Asia,AI,2,17.15,53.46,4.15,41,28.01,0,Operating,10
Startup_177,USA,Fintech,7,12.09,79.35,14.25,475,21.96,1,Operating,11
Startup_178,South America,SaaS,2,104.15,20.25,29.02,453,18.09,0,Operating,11
Startup_179,USA,E-commerce,4,15.34,12.71,0.81,21,15.83,1,Operating,3
Startup_180,USA,Biotech,3,7.98,43.0,11.17,370,10.77,0,Operating,13
Startup_181,Asia,Biotech,2,20.21,234.16,28.68,40,5.51,0,IPO,9
Startup_182,USA,E-commerce,3,0.89,61.93,1.09,159,8.2,0,Operating,5
Startup_183,Europe,E-commerce,2,2.35,57.23,2.02,52,25.47,0,Operating,2
Startup_184,Europe,E-commerce,1,21.79,29.9,11.31,171,13.16,0,Acquired,4
Startup_185,Africa,SaaS,3,2.63,105.8,10.0,453,14.27,0,Operating,10
Startup_186,South America,Biotech,3,28.16,59.7,3.54,426,2.94,0,Operating,0
Startup_187,USA,Edtech,0,1.28,56.18,27.58,322,15.25,1,Operating,11
Startup_188,USA,AI,2,18.02,17.3,4.89,402,26.93,0,Acquired,10
Startup_189,Asia,AI,3,22.69,158.19,4.18,456,18.19,0,Closed,11
Startup_190,Europe,Fintech,1,30.25,14.41,18.4,484,22.0,0,Operating,9
Startup_191,South America,Healthtech,2,43.38,37.08,8.25,473,20.41,1,Operating,10
Startup_192,Africa,Edtech,5,7.49,20.74,5.83,435,27.62,0,Operating,3
Startup_193,Europe,Biotech,4,25.4,9.97,7.87,303,22.03,1,Acquired,13
Startup_194,Africa,Fintech,2,1.68,7.78,12.62,118,3.68,0,Acquired,5
Startup_195,Asia,Fintech,3,35.41,17.33,0.87,390,23.16,0,Acquired,9
Startup_196,Asia,E-commerce,2,44.19,58.39,4.06,382,16.94,1,IPO,12
Startup_197,USA,Healthtech,2,27.62,184.01,19.7,93,24.67,0,Operating,5
Startup_198,South America,Biotech,6,6.61,95.96,13.19,426,14.53,1,Operating,8
Startup_199,Africa,Healthtech,2,1.29,12.3,0.77,191,13.23,0,Acquired,13
Startup_200,Europe,Edtech,3,10.95,4.08,6.17,180,21.82,1,IPO,5
Startup_201,Asia,Healthtech,2,6.31,58.03,3.68,338,1.3,0,Operating,12
Startup_202,USA,Fintech,3,15.11,1.52,15.75,145,7.89,0,Acquired,3
Startup_203,USA,Healthtech,4,10.01,97.99,1.55,176,3.37,0,Operating,0
Startup_204,Africa,Healthtech,1,2.92,87.31,1.57,23,18.86,0,IPO,0
Startup_205,Asia,AI,2,36.24,78.92,13.53,400,4.76,0,Acquired,8
Startup_206,South America,Biotech,6,40.0,40.2,43.54,64,16.14,0,Operating,9
Startup_207,Asia,Biotech,1,33.55,181.59,4.94,163,6.78,0,Operating,8
Startup_208,Africa,Fintech,1,4.72,30.66,19.91,38,4.78,0,Operating,0
Startup_209,Africa,SaaS,3,11.19,215.37,5.08,173,33.79,0,Operating,14
Startup_210,Asia,Healthtech,3,3.76,106.8,10.69,411,15.71,1,IPO,7
Startup_211,Africa,Healthtech,1,21.88,6.76,6.67,461,11.07,1,IPO,6
Startup_212,Asia,E-commerce,2,32.69,112.64,13.6,276,5.16,1,Operating,9
Startup_213,Europe,Biotech,2,17.42,18.18,0.59,220,65.63,1,Acquired,9
Startup_214,Asia,Healthtech,3,15.8,73.1,7.97,76,23.09,0,Operating,2
Startup_215,Asia,Biotech,4,25.1,0.01,64.15,233,4.7,1,IPO,12
Startup_216,Africa,Healthtech,2,2.41,16.14,13.93,291,18.94,1,Closed,10
Startup_217,Africa,AI,4,5.69,71.03,2.62,443,11.78,0,Operating,7
Startup_218,USA,Fintech,4,7.53,179.4,3.65,356,19.19,0,Operating,7
Startup_219,USA,Biotech,4,15.21,9.37,11.69,377,4.77,0,Operating,9
Startup_220,Europe,Edtech,5,74.62,30.75,1.61,174,8.29,1,Acquired,7
Startup_221,USA,Fintech,4,39.76,44.24,0.07,283,29.11,0,Operating,0
Startup_222,Asia,E-commerce,5,5.67,152.42,14.82,170,17.26,1,Closed,12
Startup_223,Africa,Fintech,2,5.3,30.19,9.15,360,15.14,1,Operating,13
Startup_224,USA,Healthtech,2,11.44,135.55,11.17,356,19.98,0,Acquired,13
Startup_225,USA,E-commerce,5,73.5,191.26,0.22,411,10.95,0,Closed,4
Startup_226,Europe,Fintech,1,3.31,142.05,4.76,250,13.39,0,Operating,4
Startup_227,Europe,E-commerce,1,62.9,69.06,7.59,347,29.35,0,Operating,9
Startup_228,Asia,Edtech,1,4.22,6.75,11.97,254,29.24,0,IPO,9
Startup_229,Africa,Fintech,3,43.51,46.12,18.62,101,12.3,0,Operating,7
Startup_230,Europe,Biotech,2,35.47,70.03,3.38,387,7.61,0,Operating,1
Startup_231,USA,Biotech,6,42.8,154.95,23.75,493,18.82,0,Acquired,9
Startup_232,Africa,SaaS,1,44.47,75.24,11.15,414,13.54,0,Operating,8
Startup_233,Africa,Healthtech,1,4.92,38.71,5.08,300,4.15,1,Operating,4
Startup_234,USA,E-commerce,2,30.16,11.48,10.84,263,10.33,0,Operating,10
Startup_235,Europe,SaaS,3,22.92,30.54,10.82,5,5.93,1,Operating,11
Startup_236,USA,SaaS,3,42.23,50.85,2.4,465,8.53,0,Operating,11
Startup_237,Africa,AI,3,13.48,19.62,0.06,223,11.65,0,Operating,7
Startup_238,South America,E-commerce,0,10.67,30.48,1.31,438,5.39,1,Operating,4
Startup_239,South America,SaaS,3,25.91,0.88,31.0,31,20.2,0,Acquired,1
Startup_240,Asia,AI,3,6.29,105.61,19.54,304,10.85,1,Operating,13
Startup_241,USA,SaaS,1,34.3,1.77,1.89,346,3.7,0,Operating,12
Startup_242,USA,Healthtech,1,6.74,26.32,10.77,59,7.25,0,Acquired,11
Startup_243,Asia,Edtech,2,0.88,35.77,24.79,207,16.37,1,Operating,0
Startup_244,Asia,AI,4,16.04,179.53,24.78,147,29.02,1,Closed,12
Startup_245,Asia,Edtech,4,36.15,136.79,8.31,98,6.93,1,IPO,2
Startup_246,Africa,E-commerce,5,23.45,51.97,12.86,214,6.75,0,Operating,10
Startup_247,USA,Healthtech,4,90.74,43.86,5.01,48,9.58,0,Operating,7
Startup_248,Africa,AI,3,3.03,22.83,0.75,476,42.85,0,Operating,3
Startup_249,Asia,E-commerce,0,8.45,2.1,7.52,356,22.69,0,IPO,3
Startup_250,USA,SaaS,3,9.56,15.58,3.83,218,10.32,0,Operating,14
Startup_251,Africa,Biotech,4,1.2,94.1,5.23,201,6.79,0,Operating,9
Startup_252,Africa,Fintech,3,0.88,52.24,1.91,329,10.65,0,Operating,7
Startup_253,Asia,E-commerce,3,0.6,84.22,13.28,154,9.48,0,Acquired,12
Startup_254,USA,Edtech,1,10.51,90.69,29.62,450,22.83,1,Operating,12
Startup_255,Asia,Healthtech,3,37.26,3.21,12.06,373,14.12,0,Acquired,12
Startup_256,USA,Healthtech,0,24.73,20.56,6.78,439,14.87,0,IPO,12
Startup_257,South America,E-commerce,4,11.84,56.35,5.44,171,25.46,1,Operating,6
Startup_258,Europe,SaaS,0,6.13,95.9,8.01,410,3.79,0,IPO,4
Startup_259,Europe,Fintech,4,0.31,80.83,10.53,395,22.02,0,Operating,7
Startup_260,Europe,Edtech,4,3.86,27.42,1.36,54,16.85,0,IPO,6
Startup_261,Asia,E-commerce,2,9.79,134.49,15.64,257,3.52,0,Operating,8
Startup_262,South America,E-commerce,3,9.26,17.88,0.05,442,14.57,0,Acquired,5
Startup_263,USA,Biotech,3,6.0,23.56,18.65,217,11.96,0,Acquired,1
Startup_264,Africa,Healthtech,8,117.06,10.01,6.98,487,14.66,0,Operating,11
Startup_265,USA,Edtech,5,11.86,12.87,5.7,334,22.65,0,Operating,3
Startup_266,Africa,Fintech,3,6.23,0.44,1.29,118,36.69,1,Operating,6
Startup_267,USA,Healthtech,2,10.45,18.44,8.78,144,18.43,0,Operating,10
Startup_268,South America,E-commerce,3,6.55,18.31,0.93,450,14.49,0,Operating,12
Startup_269,Africa,Healthtech,3,8.68,3.48,20.1,361,9.76,1,Operating,6
Startup_270,Asia,Healthtech,1,2.69,20.81,3.6,219,31.08,0,Operating,6
Startup_271,USA,AI,4,0.02,17.93,1.89,426,10.43,1,Acquired,7
Startup_272,USA,Healthtech,8,13.53,80.24,2.89,209,5.19,1,IPO,11
Startup_273,Africa,SaaS,1,13.43,8.49,7.62,71,1.59,1,Acquired,9
Startup_274,Asia,Healthtech,5,3.41,64.56,8.21,458,13.19,1,Closed,10
Startup_275,Asia,SaaS,5,35.76,6.96,4.13,98,26.63,1,Operating,9
Startup_276,South America,Edtech,4,4.26,34.28,15.53,45,30.31,0,Operating,3
Startup_277,Asia,Healthtech,10,29.41,66.66,4.75,199,29.54,0,Acquired,10
Startup_278,Asia,Fintech,5,4.22,46.63,5.75,390,3.03,0,Operating,0
Startup_279,Asia,SaaS,3,6.61,51.91,1.39,317,34.86,1,Operating,2
Startup_280,Europe,SaaS,3,6.29,11.56,1.46,319,22.17,0,Operating,3
Startup_281,South America,E-commerce,2,5.22,87.84,1.07,418,16.5,0,Operating,4
Startup_282,USA,Edtech,4,60.97,151.95,1.58,193,2.46,1,Acquired,8
Startup_283,Africa,Healthtech,2,6.12,8.38,23.05,352,20.29,0,Closed,6
Startup_284,USA,Biotech,2,13.27,109.58,11.55,249,39.42,0,Operating,5
Startup_285,South America,Fintech,2,26.57,25.35,11.15,181,31.31,1,Operating,0
Startup_286,Africa,E-commerce,3,7.69,60.0,1.58,181,5.91,1,Operating,9
Startup_287,South America,Edtech,5,0.24,35.33,7.33,381,5.39,1,Operating,1
Startup_288,Asia,SaaS,5,28.68,78.83,6.71,47,25.16,1,Operating,8
Startup_289,Africa,Fintech,4,6.68,2.32,3.39,236,18.91,1,IPO,0
Startup_290,Asia,Healthtech,6,41.3,19.55,3.15,486,6.73,1,IPO,12
Startup_291,USA,Biotech,4,13.51,2.43,14.37,355,17.33,0,Closed,12
Startup_292,USA,AI,1,19.59,142.11,3.54,149,9.9,1,Operating,3
Startup_293,Africa,AI,6,60.3,9.33,8.98,62,9.69,0,Closed,13
Startup_294,Africa,Edtech,3,40.8,27.63,25.19,205,26.4,0,Closed,4
Startup_295,South America,Biotech,1,31.47,51.28,7.21,24,10.27,1,Operating,3
Startup_296,South America,Fintech,3,15.13,30.95,9.26,337,34.47,1,Operating,5
Startup_297,Asia,E-commerce,2,3.71,38.45,20.81,58,22.02,0,Operating,14
Startup_298,Africa,Fintech,2,36.78,11.41,12.77,479,6.65,0,Acquired,4
Startup_299,USA,Biotech,4,1.97,3.47,0.14,488,30.03,1,IPO,9
Startup_300,South America,SaaS,3,43.69,14.88,1.56,128,13.65,1,IPO,13
Startup_301,South America,AI,2,29.07,19.07,3.13,62,13.84,1,Operating,3
Startup_302,USA,Edtech,2,32.54,26.88,5.63,264,9.63,0,Closed,10
Startup_303,South America,Healthtech,2,9.47,17.55,3.23,95,2.25,1,Operating,5
Startup_304,Asia,Fintech,1,1.78,1.82,6.19,76,8.7,0,IPO,4
Startup_305,Africa,AI,3,25.96,4.97,15.32,452,4.34,0,IPO,3
Startup_306,USA,E-commerce,3,76.39,56.02,36.1,141,4.58,0,Closed,6
Startup_307,Africa,Edtech,2,39.1,3.26,9.92,217,18.03,0,Operating,3
Startup_308,South America,Healthtech,0,36.83,2.37,20.41,295,44.8,0,Operating,11
Startup_309,South America,Fintech,2,20.01,83.51,4.21,385,19.96,0,Operating,3
Startup_310,USA,E-commerce,3,2.47,2.11,1.47,160,28.57,1,Operating,3
Startup_311,Asia,Healthtech,4,39.8,3.56,17.9,159,32.32,1,Operating,13
Startup_312,Europe,SaaS,4,5.02,39.87,14.77,203,22.15,0,IPO,5
Startup_313,USA,AI,1,6.14,29.25,2.69,182,11.24,0,IPO,13
Startup_314,Europe,SaaS,1,28.2,166.84,7.73,177,23.79,1,IPO,14
Startup_315,Europe,AI,2,25.24,138.11,50.87,486,4.87,0,IPO,4
Startup_316,Asia,E-commerce,8,1.51,53.97,35.71,274,23.42,0,Acquired,7
Startup_317,Europe,SaaS,2,5.81,3.73,6.02,33,18.39,1,IPO,6
Startup_318,Europe,AI,8,34.04,34.98,3.34,114,6.76,0,Acquired,10
Startup_319,Asia,Edtech,0,59.75,2.31,3.48,320,25.81,0,Operating,13
Startup_320,Europe,E-commerce,4,6.19,119.26,21.05,161,13.95,0,IPO,4
Startup_321,Europe,AI,3,28.6,53.94,11.06,61,6.17,0,IPO,10
Startup_322,Europe,Fintech,4,14.09,42.65,9.15,250,14.81,1,Operating,6
